"","PRAD","THCA","KICH","CESC","KIRP","BLCA","STAD","BRCA","KIRC","UCEC","HNSC","COAD","READ","ESCA","LUAD","GBM","PCPG","LUSC","LIHC","CHOL"
"PSKH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"STK17B",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"STK33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"STK38L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"TP53RK",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"TSSK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"ULK4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"WEE2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"WNK3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ADCK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CDK19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CDKL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"CDKL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CSNK1G2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CSNK2A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"DSTYK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"DYRK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"DYRK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"HIPK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ICK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"NIM1K",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"PHKG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"PIK3C2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PIK3C2G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"PIP5K1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PIP5K1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PIP5K1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PRKACB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"RPS6KC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"SBK2",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SBK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TAOK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TESK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TLK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TSSK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TTBK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
