"","PRAD","THCA","KICH","BRCA","KIRP","KIRC","READ","COAD","BLCA","STAD","PCPG","UCEC","LUAD","HNSC","CESC","GBM","ESCA","LUSC","LIHC","CHOL"
"PSKH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"PTK2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"RIPK4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"RPS6KA1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"RPS6KA6",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"RPS6KB2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"RYK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"SGK2",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"SRPK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"STK17B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"STK33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"STK38L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"TP53RK",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"TSSK2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"TTN",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"TYK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"ULK1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"ULK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"ULK4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"WEE2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"WNK3",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"XYLB",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"AAK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ABL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ACVR1B",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"ACVR2A",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"ADCK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"AK1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"AK9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"ALPK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"AMHR2",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BMP2K",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CAMK2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CAMK4",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"CAMKK2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CDK19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CDK8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"CDKL2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"CDKL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CDKL5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CERK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CHKB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CSK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"CSNK1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CSNK1G2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CSNK2A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"DAPK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"DDR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"DGKH",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DGKQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"DMPK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"DSTYK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"DYRK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"DYRK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"EPHA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"ERBB4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"FGFR1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FGGY",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"FLT3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FLT4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"FYN",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GK5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"GRK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"GSK3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"GSK3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"GUK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"HIPK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ICK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"IKBKB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ILK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"INSR",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IP6K1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"IP6K2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"IRAK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"IRAK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ITPK1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"KDR",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"KHK",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"KIT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MAP2K2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"MAP3K1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"MAP3K13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"MAP3K8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"MAP4K3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"MAPK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"MAPK7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"MAPKAPK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"MINK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"MVK",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"MYLK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"NIM1K",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"NME6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PANK1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"PDK3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"PDPK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PEAK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PFKM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PHKG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"PI4KB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PIK3C2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PIK3C2G",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"PIK3CB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"PIP4K2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PIP5K1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PIP5K1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PIP5K1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PKN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PKN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"PRKAB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PRKACB",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"PRKCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PRKD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"PRKG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PRPS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"PRPS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"RIPK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"RPS6KA5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"RPS6KC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"SBK2",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"SRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"STK25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"STK38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"STK4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"STRADA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TAB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TAOK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TBK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"TEC",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"TESK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TLK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TNK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"TRPM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"TSSK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TTBK2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"TXK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
