Gene,TDL,Kinase_score_percent_THCA,Cancer
AAK1,Tchem,7.142857143,THCA
AATK,Tbio,19.04761905,THCA
ABL1,TMOA_THCA,4.761904762,THCA
ABL2,Tchem,14.28571429,THCA
ACVR1,Tchem,14.28571429,THCA
ACVR1B,Tchem,11.9047619,THCA
ACVR1C,Tbio,0,THCA
ACVR2A,Tchem,0,THCA
ACVR2B,Tchem,14.28571429,THCA
ACVRL1,Tchem,14.28571429,THCA
ADCK1,Tdark,9.523809524,THCA
ADCK2,Tbio,0,THCA
ADCK5,Tdark,14.28571429,THCA
ADK,Tchem,14.28571429,THCA
ADPGK,Tbio,14.28571429,THCA
AK1,Tbio,14.28571429,THCA
AK2,Tbio,0,THCA
AK3,Tbio,4.761904762,THCA
AK4,Tbio,16.66666667,THCA
AK5,Tbio,16.66666667,THCA
AK6,Tbio,0,THCA
AK8,Tbio,9.523809524,THCA
AK9,Tbio,0,THCA
AKT1,Tchem,14.28571429,THCA
AKT2,Tchem,7.142857143,THCA
AKT3,Tchem,14.28571429,THCA
ALK,TMOA_THCA,14.28571429,THCA
ALPK1,Tbio,14.28571429,THCA
ALPK2,Tbio,14.28571429,THCA
ALPK3,Tdark,0,THCA
AMHR2,Tbio,0,THCA
ANKK1,Tbio,2.380952381,THCA
ARAF,Tchem,0,THCA
ATM,Tchem,19.04761905,THCA
ATR,Tchem,4.761904762,THCA
AURKA,Tchem,0,THCA
AURKB,Tchem,14.28571429,THCA
AURKC,Tchem,0,THCA
AXL,Tchem,16.66666667,THCA
BCKDK,Tbio,0,THCA
BLK,Tchem,0,THCA
BMP2K,Tchem,0,THCA
BMPR1A,Tchem,7.142857143,THCA
BMPR1B,Tchem,16.66666667,THCA
BMPR2,Tchem,0,THCA
BMX,Tchem,0,THCA
BRAF,TMOA_THCA,14.28571429,THCA
BRSK1,Tchem,28.57142857,THCA
BRSK2,Tchem,0,THCA
BTK,TMOA_THCA,16.66666667,THCA
BUB1,Tchem,21.42857143,THCA
BUB1B,Tbio,0,THCA
CAMK1,Tchem,0,THCA
CAMK1D,Tchem,7.142857143,THCA
CAMK1G,Tchem,14.28571429,THCA
CAMK2A,Tchem,14.28571429,THCA
CAMK2B,Tchem,0,THCA
CAMK2D,Tchem,14.28571429,THCA
CAMK2G,Tchem,4.761904762,THCA
CAMK4,Tbio,16.66666667,THCA
CAMKK1,Tchem,0,THCA
CAMKK2,Tchem,0,THCA
CAMKV,Tbio,19.04761905,THCA
CASK,Tchem,0,THCA
CDC42BPA,Tchem,0,THCA
CDC42BPB,Tbio,0,THCA
CDC42BPG,Tbio,28.57142857,THCA
CDC7,Tchem,0,THCA
CDK1,Tchem,0,THCA
CDK10,Tbio,0,THCA
CDK11A,Tchem,14.28571429,THCA
CDK11B,Tchem,0,THCA
CDK12,Tchem,0,THCA
CDK13,Tchem,4.761904762,THCA
CDK14,Tchem,0,THCA
CDK15,Tchem,9.523809524,THCA
CDK16,Tchem,0,THCA
CDK17,Tchem,16.66666667,THCA
CDK18,Tchem,14.28571429,THCA
CDK19,Tchem,14.28571429,THCA
CDK2,Tchem,14.28571429,THCA
CDK20,Tbio,2.380952381,THCA
CDK3,Tchem,14.28571429,THCA
CDK4,Tclin,0,THCA
CDK5,Tchem,2.380952381,THCA
CDK6,Tclin,7.142857143,THCA
CDK7,Tchem,14.28571429,THCA
CDK8,Tchem,0,THCA
CDK9,Tchem,28.57142857,THCA
CDKL1,Tchem,2.380952381,THCA
CDKL2,Tchem,0,THCA
CDKL3,Tchem,2.380952381,THCA
CDKL4,Tdark,0,THCA
CDKL5,Tchem,0,THCA
CERK,Tchem,7.142857143,THCA
CHEK1,Tchem,0,THCA
CHEK2,Tchem,14.28571429,THCA
CHKA,Tchem,19.04761905,THCA
CHKB,Tbio,0,THCA
CHUK,Tchem,0,THCA
CIT,Tchem,0,THCA
CKB,Tbio,2.380952381,THCA
CKM,Tbio,0,THCA
CKMT1A,Tbio,7.142857143,THCA
CKMT2,Tbio,7.142857143,THCA
CLK1,Tchem,16.66666667,THCA
CLK2,Tchem,28.57142857,THCA
CLK3,Tchem,0,THCA
CLK4,Tchem,0,THCA
CMPK1,Tbio,0,THCA
CMPK2,Tbio,0,THCA
COQ8A,Tbio,0,THCA
COQ8B,Tchem,0,THCA
CSF1R,TMOA_THCA,14.28571429,THCA
CSK,Tchem,0,THCA
CSNK1A1,Tchem,0,THCA
CSNK1A1L,Tdark,0,THCA
CSNK1D,Tchem,2.380952381,THCA
CSNK1E,Tchem,14.28571429,THCA
CSNK1G1,Tchem,7.142857143,THCA
CSNK1G2,Tchem,0,THCA
CSNK1G3,Tbio,4.761904762,THCA
CSNK2A1,Tchem,0,THCA
CSNK2A2,Tchem,0,THCA
CSNK2A3,Tdark,0,THCA
CSNK2B,Tbio,0,THCA
DAPK1,Tchem,2.380952381,THCA
DAPK2,Tchem,28.57142857,THCA
DAPK3,Tchem,0,THCA
DCK,Tchem,14.28571429,THCA
DCLK1,Tchem,16.66666667,THCA
DCLK2,Tchem,7.142857143,THCA
DCLK3,Tchem,26.19047619,THCA
DDR1,Tchem,14.28571429,THCA
DDR2,Tchem,4.761904762,THCA
DGKA,Tbio,19.04761905,THCA
DGKH,Tbio,14.28571429,THCA
DGKQ,Tbio,0,THCA
DGUOK,Tbio,14.28571429,THCA
DMPK,Tchem,0,THCA
DSTYK,Tchem,0,THCA
DTYMK,Tbio,0,THCA
DYRK1A,Tchem,4.761904762,THCA
DYRK1B,Tchem,14.28571429,THCA
DYRK2,Tchem,0,THCA
DYRK3,Tchem,9.523809524,THCA
DYRK4,Tchem,4.761904762,THCA
EEF2K,Tchem,0,THCA
EFNA1,Tbio,14.28571429,THCA
EGFR,TMOA_THCA,0,THCA
EIF2AK1,Tchem,2.380952381,THCA
EIF2AK2,Tchem,0,THCA
EIF2AK3,Tchem,2.380952381,THCA
EIF2AK4,Tchem,4.761904762,THCA
EPHA1,Tchem,14.28571429,THCA
EPHA10,Tbio,33.33333333,THCA
EPHA2,TMOA_THCA,14.28571429,THCA
EPHA3,Tchem,0,THCA
EPHA4,Tchem,30.95238095,THCA
EPHA5,Tchem,0,THCA
EPHA6,Tchem,7.142857143,THCA
EPHA7,Tchem,0,THCA
EPHA8,Tchem,16.66666667,THCA
EPHB1,Tchem,7.142857143,THCA
EPHB2,Tchem,2.380952381,THCA
EPHB3,Tchem,42.85714286,THCA
EPHB4,Tchem,0,THCA
EPHB6,Tchem,9.523809524,THCA
ERBB2,TMOA_THCA,0,THCA
ERBB3,Tchem,40.47619048,THCA
ERBB4,TMOA_THCA,0,THCA
ERN1,Tchem,0,THCA
ERN2,Tbio,0,THCA
ETNK1,Tbio,9.523809524,THCA
ETNK2,Tdark,33.33333333,THCA
FASTK,Tbio,0,THCA
FER,Tchem,0,THCA
FES,Tchem,2.380952381,THCA
FGFR1,TMOA_THCA,0,THCA
FGFR2,TMOA_THCA,7.142857143,THCA
FGFR3,TMOA_THCA,28.57142857,THCA
FGFR4,TMOA_THCA,0,THCA
FGGY,Tbio,2.380952381,THCA
FGR,Tchem,16.66666667,THCA
FLT1,TMOA_THCA,11.9047619,THCA
FLT3,TMOA_THCA,16.66666667,THCA
FLT4,TMOA_THCA,11.9047619,THCA
FN3K,Tbio,2.380952381,THCA
FN3KRP,Tbio,0,THCA
FRK,Tchem,7.142857143,THCA
FUK,Tbio,0,THCA
FYN,TMOA_THCA,28.57142857,THCA
GAK,Tchem,0,THCA
GALK1,Tbio,0,THCA
GALK2,Tbio,4.761904762,THCA
GCK,Tchem,2.380952381,THCA
GK,Tbio,9.523809524,THCA
GK2,Tdark,0,THCA
GK3P,Tdark,2.380952381,THCA
GK5,Tbio,0,THCA
GLYCTK,Tbio,0,THCA
GRK1,Tchem,0,THCA
GRK2,Tchem,0,THCA
GRK3,Tchem,4.761904762,THCA
GRK4,Tchem,14.28571429,THCA
GRK5,Tchem,4.761904762,THCA
GRK6,Tchem,0,THCA
GRK7,Tchem,0,THCA
GSK3A,Tclin,0,THCA
GSK3B,Tclin,0,THCA
GUCY2C,Tclin,0,THCA
GUCY2D,Tbio,19.04761905,THCA
GUCY2F,Tbio,0,THCA
GUK1,Tbio,0,THCA
HASPIN,Tchem,2.380952381,THCA
HCK,TMOA_THCA,19.04761905,THCA
HIPK1,Tchem,4.761904762,THCA
HIPK2,Tchem,0,THCA
HIPK3,Tchem,14.28571429,THCA
HIPK4,Tchem,0,THCA
HK1,Tchem,7.142857143,THCA
HK2,Tchem,4.761904762,THCA
HK3,Tbio,21.42857143,THCA
HKDC1,Tbio,4.761904762,THCA
HUNK,Tchem,0,THCA
ICK,Tchem,2.380952381,THCA
IDNK,Tbio,7.142857143,THCA
IGF1R,Tclin,2.380952381,THCA
IKBKB,Tchem,2.380952381,THCA
IKBKE,Tchem,0,THCA
IKBKG,Tbio,2.380952381,THCA
ILK,Tchem,0,THCA
INSR,TMOA_THCA,14.28571429,THCA
INSRR,Tchem,14.28571429,THCA
IP6K1,Tbio,2.380952381,THCA
IP6K2,Tbio,0,THCA
IP6K3,Tbio,4.761904762,THCA
IPMK,Tbio,2.380952381,THCA
IRAK1,Tchem,4.761904762,THCA
IRAK2,Tbio,21.42857143,THCA
IRAK3,Tchem,14.28571429,THCA
IRAK4,Tchem,2.380952381,THCA
ITK,Tclin,19.04761905,THCA
ITPK1,Tbio,0,THCA
ITPKA,Tchem,23.80952381,THCA
ITPKB,Tchem,0,THCA
ITPKC,Tchem,16.66666667,THCA
JAK1,Tclin,14.28571429,THCA
JAK2,Tclin,2.380952381,THCA
JAK3,TMOA_THCA,21.42857143,THCA
KALRN,Tbio,4.761904762,THCA
KDR,TMOA_THCA,11.9047619,THCA
KHK,Tchem,0,THCA
KIT,TMOA_THCA,7.142857143,THCA
KSR1,Tbio,7.142857143,THCA
KSR2,Tbio,21.42857143,THCA
LATS1,Tbio,0,THCA
LATS2,Tchem,7.142857143,THCA
LCK,TMOA_THCA,4.761904762,THCA
LIMK1,Tchem,28.57142857,THCA
LIMK2,Tchem,9.523809524,THCA
LMTK2,Tbio,0,THCA
LMTK3,Tbio,30.95238095,THCA
LRRK1,Tbio,16.66666667,THCA
LRRK2,Tchem,14.28571429,THCA
LTK,Tchem,14.28571429,THCA
LYN,TMOA_THCA,21.42857143,THCA
MAK,Tchem,4.761904762,THCA
MAP2K1,TMOA_THCA,0,THCA
MAP2K2,TMOA_THCA,14.28571429,THCA
MAP2K3,Tchem,0,THCA
MAP2K4,Tchem,4.761904762,THCA
MAP2K5,Tchem,0,THCA
MAP2K6,Tchem,2.380952381,THCA
MAP2K7,Tchem,0,THCA
MAP3K1,Tchem,14.28571429,THCA
MAP3K10,Tchem,19.04761905,THCA
MAP3K11,Tchem,0,THCA
MAP3K12,Tchem,16.66666667,THCA
MAP3K13,Tchem,2.380952381,THCA
MAP3K14,Tchem,14.28571429,THCA
MAP3K15,Tchem,7.142857143,THCA
MAP3K19,Tchem,0,THCA
MAP3K2,Tchem,0,THCA
MAP3K20,Tchem,14.28571429,THCA
MAP3K21,Tdark,0,THCA
MAP3K3,Tchem,14.28571429,THCA
MAP3K4,Tbio,7.142857143,THCA
MAP3K5,Tchem,14.28571429,THCA
MAP3K6,Tchem,33.33333333,THCA
MAP3K7,Tchem,14.28571429,THCA
MAP3K8,Tchem,2.380952381,THCA
MAP3K9,Tchem,11.9047619,THCA
MAP4K1,Tchem,2.380952381,THCA
MAP4K2,Tchem,7.142857143,THCA
MAP4K3,Tchem,4.761904762,THCA
MAP4K4,Tchem,14.28571429,THCA
MAP4K5,Tchem,2.380952381,THCA
MAPK1,Tchem,14.28571429,THCA
MAPK10,Tchem,9.523809524,THCA
MAPK11,Tchem,0,THCA
MAPK12,Tchem,0,THCA
MAPK13,Tchem,38.0952381,THCA
MAPK14,Tchem,0,THCA
MAPK15,Tchem,14.28571429,THCA
MAPK3,Tchem,0,THCA
MAPK4,Tbio,7.142857143,THCA
MAPK6,Tbio,14.28571429,THCA
MAPK7,Tchem,14.28571429,THCA
MAPK8,Tchem,9.523809524,THCA
MAPK9,Tchem,0,THCA
MAPKAPK2,Tchem,14.28571429,THCA
MAPKAPK3,Tchem,16.66666667,THCA
MAPKAPK5,Tchem,0,THCA
MARK1,Tchem,7.142857143,THCA
MARK2,Tchem,7.142857143,THCA
MARK3,Tchem,7.142857143,THCA
MARK4,Tchem,14.28571429,THCA
MAST1,Tchem,35.71428571,THCA
MAST2,Tbio,0,THCA
MAST3,Tchem,0,THCA
MAST4,Tbio,0,THCA
MASTL,Tbio,0,THCA
MATK,Tbio,0,THCA
MELK,Tchem,19.04761905,THCA
MERTK,Tchem,0,THCA
MET,TMOA_THCA,35.71428571,THCA
MINK1,Tchem,0,THCA
MKNK1,Tchem,0,THCA
MKNK2,Tchem,4.761904762,THCA
MLKL,Tchem,0,THCA
MOK,Tbio,9.523809524,THCA
MOS,Tbio,14.28571429,THCA
MST1R,Tchem,38.0952381,THCA
MTOR,Tclin,0,THCA
MUSK,Tchem,14.28571429,THCA
MVK,Tchem,16.66666667,THCA
MYLK,Tchem,0,THCA
MYLK2,Tchem,0,THCA
MYLK3,Tchem,0,THCA
MYLK4,Tchem,4.761904762,THCA
MYO3A,Tbio,14.28571429,THCA
MYO3B,Tbio,38.0952381,THCA
NADK,Tbio,0,THCA
NADK2,Tbio,7.142857143,THCA
NAGK,Tbio,0,THCA
NEK1,Tchem,4.761904762,THCA
NEK10,Tdark,7.142857143,THCA
NEK11,Tchem,7.142857143,THCA
NEK2,Tchem,14.28571429,THCA
NEK3,Tchem,14.28571429,THCA
NEK4,Tbio,7.142857143,THCA
NEK5,Tchem,7.142857143,THCA
NEK6,Tchem,16.66666667,THCA
NEK7,Tchem,14.28571429,THCA
NEK8,Tbio,14.28571429,THCA
NEK9,Tchem,7.142857143,THCA
NIM1K,Tchem,7.142857143,THCA
NLK,Tchem,4.761904762,THCA
NME1,Tbio,0,THCA
NME1-NME2,Tbio,0,THCA
NME2P1,Tdark,0,THCA
NME3,Tbio,14.28571429,THCA
NME4,Tbio,0,THCA
NME5,Tbio,4.761904762,THCA
NME6,Tbio,0,THCA
NMRK1,Tbio,2.380952381,THCA
NMRK2,Tbio,0,THCA
NPR1,Tclin,4.761904762,THCA
NPR2,Tbio,0,THCA
NRBP1,Tbio,14.28571429,THCA
NRBP2,Tdark,16.66666667,THCA
NRK,Tdark,14.28571429,THCA
NTRK1,Tclin,14.28571429,THCA
NTRK2,Tchem,2.380952381,THCA
NTRK3,Tchem,14.28571429,THCA
NUAK1,Tchem,0,THCA
NUAK2,Tchem,4.761904762,THCA
OBSCN,Tbio,14.28571429,THCA
OXSR1,Tbio,0,THCA
PAK1,Tchem,9.523809524,THCA
PAK2,Tchem,14.28571429,THCA
PAK3,Tchem,0,THCA
PAK4,Tchem,2.380952381,THCA
PAK5,Tchem,7.142857143,THCA
PAK6,Tchem,7.142857143,THCA
PAN3,Tdark,16.66666667,THCA
PANK1,Tbio,7.142857143,THCA
PANK2,Tbio,0,THCA
PANK3,Tchem,0,THCA
PANK4,Tdark,0,THCA
PASK,Tbio,14.28571429,THCA
PBK,Tchem,0,THCA
PCK1,Tbio,0,THCA
PCK2,Tbio,7.142857143,THCA
PDGFRA,TMOA_THCA,14.28571429,THCA
PDGFRB,Tclin,0,THCA
PDIK1L,Tdark,0,THCA
PDK1,Tchem,0,THCA
PDK2,Tchem,0,THCA
PDK3,Tchem,14.28571429,THCA
PDK4,Tchem,0,THCA
PDPK1,Tchem,4.761904762,THCA
PDPK2P,Tdark,0,THCA
PDXK,Tbio,0,THCA
PEAK1,Tbio,14.28571429,THCA
PFKFB1,Tbio,2.380952381,THCA
PFKFB2,Tchem,7.142857143,THCA
PFKFB3,Tchem,14.28571429,THCA
PFKL,Tbio,0,THCA
PFKM,Tbio,7.142857143,THCA
PFKP,Tbio,0,THCA
PGK1,Tchem,7.142857143,THCA
PGK2,Tbio,0,THCA
PHKA1,Tbio,0,THCA
PHKA2,Tbio,0,THCA
PHKG1,Tchem,0,THCA
PHKG2,Tchem,0,THCA
PI4K2A,Tbio,19.04761905,THCA
PI4KA,Tchem,2.380952381,THCA
PI4KB,Tchem,0,THCA
PIK3C2A,Tchem,7.142857143,THCA
PIK3C2B,Tchem,7.142857143,THCA
PIK3C2G,Tchem,0,THCA
PIK3C3,Tchem,4.761904762,THCA
PIK3CA,Tclin,14.28571429,THCA
PIK3CB,Tchem,4.761904762,THCA
PIK3CD,Tclin,16.66666667,THCA
PIK3CG,Tchem,14.28571429,THCA
PIK3R1,Tchem,14.28571429,THCA
PIK3R4,Tbio,7.142857143,THCA
PIKFYVE,Tchem,7.142857143,THCA
PIM1,Tchem,14.28571429,THCA
PIM2,Tchem,2.380952381,THCA
PIM3,Tchem,0,THCA
PINK1,Tbio,9.523809524,THCA
PIP4K2A,Tbio,16.66666667,THCA
PIP4K2B,Tchem,14.28571429,THCA
PIP4K2C,Tchem,4.761904762,THCA
PIP5K1A,Tbio,14.28571429,THCA
PIP5K1B,Tbio,0,THCA
PIP5K1C,Tchem,0,THCA
PKDCC,Tbio,0,THCA
PKLR,Tbio,0,THCA
PKM,Tchem,19.04761905,THCA
PKMYT1,Tchem,14.28571429,THCA
PKN1,Tchem,0,THCA
PKN2,Tchem,4.761904762,THCA
PKN3,Tbio,0,THCA
PLK1,Tchem,0,THCA
PLK2,Tchem,14.28571429,THCA
PLK3,Tchem,33.33333333,THCA
PLK4,Tchem,14.28571429,THCA
PLK5,Tbio,0,THCA
PNCK,Tbio,0,THCA
POMK,Tdark,0,THCA
PRAG1,Tbio,0,THCA
PRKAA1,Tchem,0,THCA
PRKAA2,Tchem,7.142857143,THCA
PRKAB1,Tchem,0,THCA
PRKACA,Tchem,0,THCA
PRKACB,Tchem,7.142857143,THCA
PRKACG,Tbio,0,THCA
PRKAG1,Tbio,4.761904762,THCA
PRKCA,Tchem,2.380952381,THCA
PRKCB,Tchem,2.380952381,THCA
PRKCD,Tclin,0,THCA
PRKCE,Tchem,7.142857143,THCA
PRKCG,Tchem,0,THCA
PRKCH,Tchem,11.9047619,THCA
PRKCI,Tchem,2.380952381,THCA
PRKCQ,Tchem,9.523809524,THCA
PRKCZ,Tchem,4.761904762,THCA
PRKD1,Tchem,7.142857143,THCA
PRKD2,Tchem,0,THCA
PRKD3,Tchem,14.28571429,THCA
PRKDC,Tchem,0,THCA
PRKG1,Tchem,7.142857143,THCA
PRKG2,Tchem,0,THCA
PRKRA,Tbio,0,THCA
PRKX,Tchem,0,THCA
PRKY,Tdark,14.28571429,THCA
PRPF4B,Tchem,2.380952381,THCA
PRPS1,Tbio,9.523809524,THCA
PRPS1L1,Tdark,9.523809524,THCA
PRPS2,Tbio,14.28571429,THCA
PSKH1,Tdark,14.28571429,THCA
PSKH2,Tdark,4.761904762,THCA
PSTK,Tdark,0,THCA
PTK2,Tchem,0,THCA
PTK2B,Tchem,14.28571429,THCA
PTK6,Tchem,40.47619048,THCA
PTK7,Tbio,0,THCA
PXK,Tbio,4.761904762,THCA
RAF1,Tclin,0,THCA
RBKS,Tbio,2.380952381,THCA
RET,Tclin,28.57142857,THCA
RIOK1,Tchem,2.380952381,THCA
RIOK2,Tbio,7.142857143,THCA
RIOK3,Tchem,14.28571429,THCA
RIPK1,Tchem,7.142857143,THCA
RIPK2,Tchem,21.42857143,THCA
RIPK3,Tchem,0,THCA
RIPK4,Tchem,0,THCA
RNASEL,Tchem,0,THCA
ROCK1,Tclin,14.28571429,THCA
ROCK2,Tclin,4.761904762,THCA
ROR1,Tbio,33.33333333,THCA
ROR2,Tbio,0,THCA
ROS1,Tchem,14.28571429,THCA
RPS6KA1,Tchem,4.761904762,THCA
RPS6KA2,Tchem,0,THCA
RPS6KA3,Tchem,14.28571429,THCA
RPS6KA4,Tchem,0,THCA
RPS6KA5,Tchem,4.761904762,THCA
RPS6KA6,Tchem,9.523809524,THCA
RPS6KB1,Tchem,4.761904762,THCA
RPS6KB2,Tbio,2.380952381,THCA
RPS6KC1,Tdark,2.380952381,THCA
RPS6KL1,Tdark,2.380952381,THCA
RYK,Tbio,2.380952381,THCA
SBK1,Tchem,21.42857143,THCA
SBK2,Tdark,0,THCA
SBK3,Tchem,0,THCA
SCYL1,Tbio,0,THCA
SCYL2,Tbio,0,THCA
SCYL3,Tdark,0,THCA
SGK1,Tchem,4.761904762,THCA
SGK2,Tchem,21.42857143,THCA
SGK3,Tchem,19.04761905,THCA
SGK494,Tdark,0,THCA
SHPK,Tbio,0,THCA
SIK1,Tchem,14.28571429,THCA
SIK2,Tchem,7.142857143,THCA
SIK3,Tchem,9.523809524,THCA
SLK,Tchem,2.380952381,THCA
SMG1,Tchem,4.761904762,THCA
SNRK,Tbio,9.523809524,THCA
SPEG,Tbio,14.28571429,THCA
SPHK1,Tchem,47.61904762,THCA
SPHK2,Tchem,21.42857143,THCA
SRC,Tclin,19.04761905,THCA
SRMS,Tchem,0,THCA
SRPK1,Tchem,14.28571429,THCA
SRPK2,Tchem,2.380952381,THCA
SRPK3,Tchem,14.28571429,THCA
STK10,Tchem,4.761904762,THCA
STK11,Tchem,14.28571429,THCA
STK16,Tchem,0,THCA
STK17A,Tchem,16.66666667,THCA
STK17B,Tchem,16.66666667,THCA
STK24,Tchem,14.28571429,THCA
STK25,Tchem,4.761904762,THCA
STK26,Tchem,14.28571429,THCA
STK3,Tchem,0,THCA
STK31,Tchem,19.04761905,THCA
STK32A,Tchem,14.28571429,THCA
STK32B,Tchem,0,THCA
STK32C,Tbio,21.42857143,THCA
STK33,Tchem,4.761904762,THCA
STK35,Tchem,0,THCA
STK36,Tbio,14.28571429,THCA
STK38,Tbio,19.04761905,THCA
STK38L,Tchem,16.66666667,THCA
STK39,Tbio,14.28571429,THCA
STK4,Tchem,14.28571429,THCA
STK40,Tbio,9.523809524,THCA
STKLD1,Tdark,21.42857143,THCA
STRADA,Tbio,0,THCA
STRADB,Tbio,19.04761905,THCA
STYK1,Tbio,38.0952381,THCA
SYK,Tchem,0,THCA
TAB1,Tbio,0,THCA
TAF1,Tchem,0,THCA
TAOK1,Tchem,0,THCA
TAOK2,Tchem,7.142857143,THCA
TAOK3,Tchem,0,THCA
TBCK,Tbio,4.761904762,THCA
TBK1,Tchem,14.28571429,THCA
TEC,Tchem,19.04761905,THCA
TEK,Tclin,2.380952381,THCA
TESK1,Tchem,14.28571429,THCA
TESK2,Tchem,0,THCA
TEX14,Tbio,4.761904762,THCA
TGFBR1,Tchem,28.57142857,THCA
TGFBR2,Tchem,9.523809524,THCA
TIE1,Tchem,4.761904762,THCA
TK1,Tchem,0,THCA
TK2,Tchem,0,THCA
TLK1,Tchem,0,THCA
TLK2,Tchem,7.142857143,THCA
TNIK,Tchem,14.28571429,THCA
TNK1,Tchem,2.380952381,THCA
TNK2,Tchem,0,THCA
TNNI3K,Tchem,0,THCA
TP53RK,Tbio,0,THCA
TPK1,Tbio,0,THCA
TRIB1,Tbio,0,THCA
TRIB2,Tbio,14.28571429,THCA
TRIB3,Tbio,16.66666667,THCA
TRIO,Tbio,14.28571429,THCA
TRPM6,Tchem,2.380952381,THCA
TSSK1B,Tchem,0,THCA
TSSK2,Tchem,21.42857143,THCA
TSSK3,Tbio,14.28571429,THCA
TSSK4,Tbio,2.380952381,THCA
TSSK6,Tbio,2.380952381,THCA
TTBK1,Tbio,14.28571429,THCA
TTBK2,Tbio,4.761904762,THCA
TTK,Tchem,14.28571429,THCA
TTN,Tbio,0,THCA
TXK,Tchem,16.66666667,THCA
TYK2,Tclin,0,THCA
TYRO3,Tchem,16.66666667,THCA
UCK1,Tbio,14.28571429,THCA
UCK2,Tbio,0,THCA
UCKL1,Tdark,0,THCA
UHMK1,Tbio,14.28571429,THCA
ULK1,Tchem,14.28571429,THCA
ULK2,Tchem,0,THCA
ULK3,Tchem,0,THCA
ULK4,Tbio,4.761904762,THCA
VRK1,Tbio,14.28571429,THCA
VRK2,Tbio,14.28571429,THCA
VRK3,Tbio,7.142857143,THCA
WEE1,Tchem,2.380952381,THCA
WEE2,Tbio,4.761904762,THCA
WNK1,Tchem,0,THCA
WNK2,Tchem,4.761904762,THCA
WNK3,Tchem,0,THCA
WNK4,Tbio,0,THCA
XYLB,Tbio,0,THCA
YES1,Tclin,2.380952381,THCA
ZAP70,Tchem,4.761904762,THCA
AAK1,Tchem,4.166666667,STAD
AATK,Tbio,0,STAD
ABL1,Tclin,0,STAD
ABL2,Tchem,20.83333333,STAD
ACVR1,Tchem,12.5,STAD
ACVR1B,Tchem,12.5,STAD
ACVR1C,Tbio,0,STAD
ACVR2A,Tchem,16.66666667,STAD
ACVR2B,Tchem,0,STAD
ACVRL1,Tchem,14.58333333,STAD
ADCK1,Tdark,0,STAD
ADCK2,Tbio,0,STAD
ADCK5,Tdark,0,STAD
ADK,Tchem,0,STAD
ADPGK,Tbio,16.66666667,STAD
AK1,Tbio,0,STAD
AK2,Tbio,0,STAD
AK3,Tbio,0,STAD
AK4,Tbio,0,STAD
AK5,Tbio,12.5,STAD
AK6,Tbio,0,STAD
AK8,Tbio,0,STAD
AK9,Tbio,0,STAD
AKT1,Tchem,0,STAD
AKT2,Tchem,0,STAD
AKT3,Tchem,20.83333333,STAD
ALK,Tclin,12.5,STAD
ALPK1,Tbio,4.166666667,STAD
ALPK2,Tbio,0,STAD
ALPK3,Tdark,0,STAD
AMHR2,Tbio,12.5,STAD
ANKK1,Tbio,0,STAD
ARAF,Tchem,0,STAD
ATM,Tchem,10.41666667,STAD
ATR,Tchem,20.83333333,STAD
AURKA,Tchem,12.5,STAD
AURKB,Tchem,12.5,STAD
AURKC,Tchem,0,STAD
AXL,Tchem,20.83333333,STAD
BCKDK,Tbio,12.5,STAD
BLK,Tchem,0,STAD
BMP2K,Tchem,4.166666667,STAD
BMPR1A,Tchem,2.083333333,STAD
BMPR1B,Tchem,0,STAD
BMPR2,Tchem,18.75,STAD
BMX,Tchem,12.5,STAD
BRAF,Tclin,2.083333333,STAD
BRSK1,Tchem,12.5,STAD
BRSK2,Tchem,12.5,STAD
BTK,Tclin,18.75,STAD
BUB1,Tchem,12.5,STAD
BUB1B,Tbio,12.5,STAD
CAMK1,Tchem,12.5,STAD
CAMK1D,Tchem,14.58333333,STAD
CAMK1G,Tchem,0,STAD
CAMK2A,Tchem,12.5,STAD
CAMK2B,Tchem,0,STAD
CAMK2D,Tchem,0,STAD
CAMK2G,Tchem,0,STAD
CAMK4,Tbio,25,STAD
CAMKK1,Tchem,0,STAD
CAMKK2,Tchem,2.083333333,STAD
CAMKV,Tbio,12.5,STAD
CASK,Tchem,12.5,STAD
CDC42BPA,Tchem,4.166666667,STAD
CDC42BPB,Tbio,0,STAD
CDC42BPG,Tbio,0,STAD
CDC7,Tchem,12.5,STAD
CDK1,Tchem,12.5,STAD
CDK10,Tbio,0,STAD
CDK11A,Tchem,2.083333333,STAD
CDK11B,Tchem,0,STAD
CDK12,Tchem,12.5,STAD
CDK13,Tchem,6.25,STAD
CDK14,Tchem,12.5,STAD
CDK15,Tchem,18.75,STAD
CDK16,Tchem,0,STAD
CDK17,Tchem,16.66666667,STAD
CDK18,Tchem,0,STAD
CDK19,Tchem,4.166666667,STAD
CDK2,Tchem,12.5,STAD
CDK20,Tbio,0,STAD
CDK3,Tchem,0,STAD
CDK4,Tclin,12.5,STAD
CDK5,Tchem,0,STAD
CDK6,Tclin,12.5,STAD
CDK7,Tchem,0,STAD
CDK8,Tchem,2.083333333,STAD
CDK9,Tchem,0,STAD
CDKL1,Tchem,2.083333333,STAD
CDKL2,Tchem,0,STAD
CDKL3,Tchem,0,STAD
CDKL4,Tdark,0,STAD
CDKL5,Tchem,12.5,STAD
CERK,Tchem,2.083333333,STAD
